STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,DPNP,DPNT,HTDD,DT90,DX32,DT00,DT32,DP01,DP05,DP10,EMXP,MXSD,DSNW,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193502,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,145,130,43,-13,295,92,194
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193503,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117,25,58,-1,418,222,320
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193504,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,85,81,20,535,337,436
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193505,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,147,0,83,29,631,404,518
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193506,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,500,0,82,45,726,545,636
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193507,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,590,0,93,47,824,621,722
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193508,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,325,0,94,45,807,580,694
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193509,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,275,0,79,36,673,481,577
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193510,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,144,0,72,26,615,399,507
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193511,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,363,40,70,17,475,326,400
